iter	Logloss
0	0.6781600916
1	0.6649862727
2	0.6535375285
3	0.6412209721
4	0.630821854
5	0.621219234
6	0.6107833009
7	0.6002013296
8	0.5928290204
9	0.5849193422
10	0.5767823022
11	0.5698572351
12	0.5627422922
13	0.5579995284
14	0.5512369906
15	0.5468564073
16	0.5426778401
17	0.5381532755
18	0.5330665409
19	0.5288274766
20	0.5244698974
21	0.5209683691
22	0.5172086611
23	0.5131144282
24	0.5098664876
25	0.5071157845
26	0.5044313098
27	0.5010941545
28	0.4987594048
29	0.49635377
30	0.4942438949
31	0.4917213588
32	0.4902563474
33	0.4881426574
34	0.4858509181
35	0.4844539399
36	0.4834466615
37	0.4816752093
38	0.4806389999
39	0.4789166103
40	0.4777108957
41	0.476623634
42	0.4754923713
43	0.4743145836
44	0.4731859566
45	0.4719027471
46	0.4706062019
47	0.4696299004
48	0.4688594777
49	0.4682213088
50	0.4673417795
51	0.4668205648
52	0.4662135916
53	0.4651411347
54	0.4641708828
55	0.4637097231
56	0.4631149894
57	0.4626099342
58	0.4620731669
59	0.4613454699
60	0.460933992
61	0.46035765
62	0.4597766512
63	0.4593320875
64	0.4587952084
65	0.458441836
66	0.4580031754
67	0.4574638983
68	0.4571465593
69	0.4566276996
70	0.4560709024
71	0.4557910447
72	0.455447201
73	0.4551528699
74	0.4549040926
75	0.4547188562
76	0.4543736071
77	0.4540252339
78	0.4536894923
79	0.4533306768
80	0.4530802712
81	0.4529651604
82	0.4526036658
83	0.4523554743
84	0.4519627228
85	0.4516473957
86	0.451450614
87	0.4512084698
88	0.4509205587
89	0.450647472
90	0.4504745582
91	0.4502479389
92	0.4500831458
93	0.4497917252
94	0.4495496914
95	0.4494473267
96	0.4491709905
97	0.4490598745
98	0.4488937024
99	0.4487650687
100	0.4485463745
101	0.4482474935
102	0.448104677
103	0.4479826664
104	0.4478252542
105	0.4477296797
106	0.4476076715
107	0.4475063136
108	0.4473144781
109	0.4472105788
110	0.4470778748
111	0.4469903588
112	0.4468660886
113	0.4467779884
114	0.4466674618
115	0.4465776823
116	0.4464799769
117	0.4463969061
118	0.446263636
119	0.446199132
120	0.4461421748
121	0.4460943351
122	0.4459606819
123	0.4458381749
124	0.4457312632
125	0.4456492703
126	0.4455376927
127	0.4454754816
128	0.4452953912
129	0.4451566986
130	0.4450165185
131	0.4449046654
132	0.4448848164
133	0.4448366304
134	0.4447323181
135	0.4445940947
136	0.4445428623
137	0.4444915924
138	0.4444382577
139	0.4443451574
140	0.4442645045
141	0.4441471344
142	0.4440072908
143	0.4439419127
144	0.4438674331
145	0.4438505957
146	0.443755162
147	0.4436675595
148	0.4436319551
149	0.4435687962
150	0.4435337863
151	0.4434433446
152	0.4433917945
153	0.4433637749
154	0.4433327543
155	0.4432932172
156	0.4432597089
157	0.4431899505
158	0.4431279886
159	0.4430608363
160	0.4429843902
161	0.4429510689
162	0.4428851377
163	0.4427921743
164	0.4426595771
165	0.4426249715
166	0.4425724451
167	0.4425428399
168	0.44247393
169	0.4424193787
170	0.4423505115
171	0.4423341973
172	0.4422922754
173	0.4422004618
174	0.4421631825
175	0.4420579164
176	0.4419848775
177	0.4419440947
178	0.4418586207
179	0.4417872478
180	0.4417404611
181	0.4416973027
182	0.441683015
183	0.4416263414
184	0.4415825991
185	0.4415107126
186	0.4414661448
187	0.4414254198
188	0.4414146428
189	0.4413946776
190	0.4413206006
191	0.4412785466
192	0.4412713938
193	0.4412562397
194	0.4412045774
195	0.4411529654
196	0.4411147677
197	0.4410793428
198	0.4410449832
199	0.4409980141
200	0.4409599536
201	0.4409243918
202	0.4408834736
203	0.44086878
204	0.4408434438
205	0.4407705563
206	0.4407273986
207	0.440698368
208	0.4406595673
209	0.4406392687
210	0.4405479945
211	0.4404951854
212	0.44046478
213	0.4403849208
214	0.4403482028
215	0.4402922616
216	0.4402324604
217	0.4402080188
