iter	Passed	Remaining
0	9	3826
1	11	2356
2	14	1871
3	16	1620
4	19	1506
5	21	1408
6	24	1366
7	27	1332
8	29	1290
9	31	1241
10	34	1214
11	36	1188
12	39	1173
13	42	1159
14	44	1154
15	47	1146
16	50	1139
17	53	1130
18	56	1126
19	59	1133
20	62	1130
21	65	1129
22	68	1125
23	71	1116
24	74	1114
25	77	1110
26	80	1106
27	82	1098
28	85	1095
29	88	1089
30	91	1084
31	93	1080
32	96	1073
33	99	1067
34	101	1060
35	105	1062
36	108	1060
37	111	1058
38	114	1055
39	117	1053
40	119	1044
41	121	1035
42	124	1030
43	127	1028
44	129	1024
45	133	1027
46	135	1020
47	138	1018
48	142	1019
49	144	1014
50	147	1010
51	150	1006
52	153	1002
53	156	1000
54	159	997
55	161	992
56	164	990
57	167	985
58	169	979
59	172	978
60	175	974
61	178	970
62	180	966
63	183	964
64	186	961
65	189	958
66	191	951
67	193	946
68	197	946
69	200	942
70	202	938
71	205	935
72	208	932
73	210	925
74	212	920
75	215	918
76	218	916
77	221	914
78	224	912
79	227	908
80	229	905
81	232	902
82	235	899
83	238	896
84	240	893
85	243	890
86	246	885
87	248	881
88	251	877
89	253	872
90	256	870
91	259	869
92	262	865
93	264	861
94	267	859
95	269	854
96	273	852
97	276	852
98	279	848
99	281	844
100	284	841
101	287	838
102	289	835
103	292	831
104	294	828
105	297	825
106	300	823
107	303	820
108	306	817
109	308	813
110	311	811
111	314	807
112	317	805
113	319	802
114	322	799
115	324	795
116	327	793
117	330	790
118	333	788
119	337	786
120	339	783
121	342	781
122	345	777
123	348	774
124	350	771
125	353	768
126	356	765
127	359	763
128	361	759
129	364	756
130	366	752
131	369	749
132	371	746
133	374	743
134	377	741
135	379	737
136	382	734
137	385	732
138	388	730
139	391	727
140	394	724
141	397	722
142	400	720
143	403	717
144	406	714
145	409	711
146	412	709
147	415	707
148	418	705
149	421	702
150	424	699
151	427	697
152	430	695
153	433	692
154	436	690
155	439	687
156	442	685
157	445	682
158	448	680
159	452	678
160	455	676
161	459	675
162	463	674
163	467	672
164	470	669
165	473	667
166	476	664
167	479	662
168	482	660
169	486	657
170	489	655
171	492	653
172	495	650
173	499	649
174	503	647
175	505	643
176	508	641
177	512	638
178	516	637
179	519	634
180	522	632
181	526	630
182	529	627
183	532	625
184	535	622
185	539	620
186	542	617
187	545	614
188	548	612
189	551	609
190	554	607
191	558	604
192	561	602
193	564	599
194	568	597
195	572	595
196	575	593
197	578	590
198	581	587
199	584	584
200	588	582
201	590	579
202	593	576
203	597	573
204	600	571
205	603	568
206	606	565
207	609	562
208	612	560
209	616	558
210	619	555
211	622	552
212	626	549
213	629	547
214	632	544
215	635	541
216	638	538
217	641	535
218	645	533
219	648	530
220	651	527
221	654	525
222	658	522
223	661	519
224	664	516
225	667	514
226	670	511
227	672	507
228	675	504
229	678	501
230	681	498
231	684	496
232	688	493
233	691	490
234	694	487
235	697	485
236	700	482
237	703	479
238	706	476
239	709	473
240	712	470
241	715	467
242	718	464
243	721	460
244	723	457
245	726	455
246	730	452
247	733	449
248	736	446
249	739	443
250	742	440
251	745	437
252	748	435
253	751	432
254	754	428
255	757	425
256	760	423
257	763	420
258	766	417
259	769	414
260	772	411
261	775	408
262	778	405
263	781	402
264	784	399
265	787	396
266	790	393
267	793	390
268	796	387
269	799	384
270	802	382
271	805	379
272	808	376
273	811	373
274	814	370
275	817	367
276	821	364
277	823	361
278	826	358
279	829	355
280	832	352
281	835	349
282	838	346
283	841	343
284	844	340
285	847	337
286	850	334
287	853	331
288	856	328
289	858	325
290	861	322
291	864	319
292	867	316
293	870	313
294	873	310
295	876	307
296	879	304
297	882	302
298	885	299
299	888	296
300	890	293
301	893	289
302	896	286
303	899	283
304	901	280
305	904	277
306	907	275
307	910	272
308	914	269
309	917	266
310	920	263
311	923	260
312	926	257
313	929	254
314	932	251
315	936	248
316	939	246
317	943	243
318	946	240
319	949	237
320	952	234
321	955	231
322	958	228
323	961	225
324	964	222
325	968	219
326	971	216
327	974	213
328	977	210
329	980	207
330	983	205
331	986	202
332	989	199
333	992	196
334	995	193
335	998	190
336	1001	187
337	1004	184
338	1007	181
339	1010	178
340	1013	175
341	1016	172
342	1019	169
343	1023	166
344	1025	163
345	1029	160
346	1032	157
347	1035	154
348	1038	151
349	1041	148
350	1044	145
351	1047	142
352	1050	139
353	1053	136
354	1056	133
355	1059	130
356	1062	128
357	1065	125
358	1068	122
359	1072	119
360	1075	116
361	1078	113
362	1081	110
363	1084	107
364	1087	104
365	1090	101
366	1093	98
367	1095	95
368	1098	92
369	1101	89
370	1104	86
371	1107	83
372	1110	80
373	1113	77
374	1115	74
375	1118	71
376	1122	68
377	1125	65
378	1128	62
379	1131	59
380	1134	56
381	1136	53
382	1140	50
383	1142	47
384	1145	44
385	1149	41
386	1151	38
387	1154	35
388	1158	32
389	1160	29
390	1163	26
391	1167	23
392	1169	20
393	1172	17
394	1175	14
395	1178	11
396	1181	8
397	1184	5
398	1187	2
399	1191	0
